what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1253913567,"com.aptana.ide.desktop.integration.server",1266238962808
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1266238963370
started,bundle,com.aptana.ide.installer,2.0.0.1255027359,"com.aptana.ide.installer",1266238963370
started,bundle,com.aptana.ide.server.portal,2.0.0.1261003788,"com.aptana.ide.server.portal",1266238963425
started,bundle,org.rubypeople.rdt.debug.ui,1.3.2.1260312246,"org.rubypeople.rdt.debug.ui",1266238963583
started,bundle,org.radrails.rails.ui,1.3.1.1263224037,"org.radrails.rails.ui",1266238963607
started,bundle,org.radrails.rails.core,1.3.1.1255533415,"org.radrails.rails.core",1266238963670
started,bundle,com.aptana.ide.editors,2.0.0.1256761519,"com.aptana.ide.editors",1266238963736
started,bundle,com.aptana.ide.scripting,2.0.0.1260993686,"com.aptana.ide.scripting",1266238963814
started,bundle,org.rubypeople.rdt.debug.core,1.3.2.1263228620,"org.rubypeople.rdt.debug.core",1266238963827
started,bundle,com.aptana.ide.core.epl,2.0.0.1265135074,"com.aptana.ide.core.epl",1266238963939
started,bundle,com.aptana.ide.core.io,2.0.3.1265135074,"com.aptana.ide.core.io",1266238964058
started,bundle,com.aptana.ide.syncing.core,2.0.3.1265135074,"com.aptana.ide.syncing.core",1266238964084
started,bundle,com.aptana.ide.syncing.ui,2.0.3.1265135074,"com.aptana.ide.syncing.ui",1266238964101
started,bundle,com.aptana.ide.server.jetty,2.0.0.1256341583,"com.aptana.ide.server.jetty",1266238964219
started,bundle,com.aptana.ide.update.ui,2.0.0.1265135074,"com.aptana.ide.update.ui",1266238964220
started,bundle,com.aptana.radrails.intro,2.0.0.1256853868,"com.aptana.radrails.intro",1266238964221
started,bundle,org.eclipse.eclipsemonkey,2.0.0.1256160806,"org.eclipse.eclipsemonkey",1266238964503
started,bundle,org.rubypeople.rdt.ui,1.2.4.1263228621,"org.rubypeople.rdt.ui",1266238964583
started,bundle,com.aptana.rdt.ui,1.3.2.1254332735,"com.aptana.rdt.ui",1266238964644
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1253913567,"org.eclipse.eclipsemonkey.lang.javascript",1266238964646
started,bundle,org.radrails.db.core,2.0.0.1252597864,"org.radrails.db.core",1266238964702
started,bundle,org.eclipse.eclipsemonkey.lang.ruby,1.2.2.1252597864,"org.eclipse.eclipsemonkey.lang.ruby",1266238964702
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1266238965758
opened,editor,com.aptana.radrails.intro,2.0.0.1256853868,"com.aptana.radrails.MyRadRailsEditor",1266238968064
