what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265994604313
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265994608330
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265994616617
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265994619358
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265994621322
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994633265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994638203
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265994639856
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1265994642016
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265994644927
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994661264
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994677768
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265994679057
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265994680808
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1265994687454
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994700459
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994708225
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1265994720204
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994721076
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994721252
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994724127
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994795086
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265994803403
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1265994803699
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1265994803908
