what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989420359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989420996
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989422316
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989422725
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989423708
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989423866
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989424434
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989442160
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989443391
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989445636
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989446716
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989446938
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989448296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265989449123
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990293012
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1265990360878
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990361689
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990362062
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1265990389241
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990394306
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990404408
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265990404499
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265990404647
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1265990445210
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265990446897
